INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Ocupantes de viviendas particulares habitadas por municipio, disponibilidad de excusado;;;;;;;;;;;Vivienda 12
y admisión de agua según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Disponibilidad de excusado;Admisión de agua;Ocupantes de viviendas particulares1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;Total;Total;Total;7.230.012;7.040.658;6.491.305;471.346;45.442;32.565;153.977;35.377
14 Jalisco;Total;Disponen de excusado;Total;7.066.288;7.009.597;6.475.060;460.142;42.754;31.641;45.258;11.433
14 Jalisco;Total;Disponen de excusado;Tiene descarga directa de agua;5.760.116;5.752.094;5.509.667;203.025;22.070;17.332;0;8.022
14 Jalisco;Total;Disponen de excusado;Le echan agua con cubeta;1.234.298;1.207.844;931.116;242.305;20.268;14.155;24.598;1.856
14 Jalisco;Total;Disponen de excusado;No se le puede echar agua;23.721;15.613;2.382;12.834;307;90;7.973;135
14 Jalisco;Total;Disponen de excusado;No especificado;48.153;34.046;31.895;1.978;109;64;12.687;1.420
14 Jalisco;Total;No disponen de excusado;Total;139.120;25.833;11.673;10.715;2.577;868;108.114;5.173
14 Jalisco;Total;No especificado;Total;24.604;5.228;4.572;489;111;56;605;18.771
14 Jalisco;001 Acatic;Total;Total;21.180;20.354;15.138;5.154;40;22;764;62
14 Jalisco;001 Acatic;Disponen de excusado;Total;20.322;20.192;15.103;5.027;40;22;113;17
14 Jalisco;001 Acatic;Disponen de excusado;Tiene descarga directa de agua;14.864;14.857;12.216;2.604;23;14;0;7
14 Jalisco;001 Acatic;Disponen de excusado;Le echan agua con cubeta;5.327;5.260;2.877;2.358;17;8;57;10
14 Jalisco;001 Acatic;Disponen de excusado;No se le puede echar agua;70;61;5;56;0;0;9;0
14 Jalisco;001 Acatic;Disponen de excusado;No especificado;61;14;5;9;0;0;47;0
14 Jalisco;001 Acatic;No disponen de excusado;Total;841;152;25;127;0;0;651;38
14 Jalisco;001 Acatic;No especificado;Total;17;10;10;0;0;0;0;7
14 Jalisco;002 Acatlán de Juárez;Total;Total;21.701;21.496;19.621;1.738;98;39;130;75
14 Jalisco;002 Acatlán de Juárez;Disponen de excusado;Total;21.480;21.395;19.570;1.693;93;39;52;33
14 Jalisco;002 Acatlán de Juárez;Disponen de excusado;Tiene descarga directa de agua;17.159;17.128;16.125;935;47;21;0;31
14 Jalisco;002 Acatlán de Juárez;Disponen de excusado;Le echan agua con cubeta;4.255;4.222;3.424;740;40;18;31;2
14 Jalisco;002 Acatlán de Juárez;Disponen de excusado;No se le puede echar agua;37;25;7;18;0;0;12;0
14 Jalisco;002 Acatlán de Juárez;Disponen de excusado;No especificado;29;20;14;0;6;0;9;0
14 Jalisco;002 Acatlán de Juárez;No disponen de excusado;Total;183;101;51;45;5;0;78;4
14 Jalisco;002 Acatlán de Juárez;No especificado;Total;38;0;0;0;0;0;0;38
14 Jalisco;003 Ahualulco de Mercado;Total;Total;21.635;21.321;20.802;367;10;142;228;86
14 Jalisco;003 Ahualulco de Mercado;Disponen de excusado;Total;21.302;21.182;20.685;355;10;132;74;46
14 Jalisco;003 Ahualulco de Mercado;Disponen de excusado;Tiene descarga directa de agua;15.826;15.798;15.617;108;6;67;0;28
14 Jalisco;003 Ahualulco de Mercado;Disponen de excusado;Le echan agua con cubeta;5.368;5.330;5.037;224;4;65;20;18
14 Jalisco;003 Ahualulco de Mercado;Disponen de excusado;No se le puede echar agua;51;37;14;23;0;0;14;0
14 Jalisco;003 Ahualulco de Mercado;Disponen de excusado;No especificado;57;17;17;0;0;0;40;0
14 Jalisco;003 Ahualulco de Mercado;No disponen de excusado;Total;274;118;96;12;0;10;154;2
14 Jalisco;003 Ahualulco de Mercado;No especificado;Total;59;21;21;0;0;0;0;38
14 Jalisco;004 Amacueca;Total;Total;5.505;5.433;4.613;816;4;0;54;18
14 Jalisco;004 Amacueca;Disponen de excusado;Total;5.442;5.415;4.601;810;4;0;14;13
14 Jalisco;004 Amacueca;Disponen de excusado;Tiene descarga directa de agua;3.649;3.644;3.353;289;2;0;0;5
14 Jalisco;004 Amacueca;Disponen de excusado;Le echan agua con cubeta;1.602;1.590;1.248;340;2;0;6;6
14 Jalisco;004 Amacueca;Disponen de excusado;No se le puede echar agua;191;181;0;181;0;0;8;2
14 Jalisco;004 Amacueca;No disponen de excusado;Total;62;17;11;6;0;0;40;5
14 Jalisco;004 Amacueca;No especificado;Total;1;1;1;0;0;0;0;0
14 Jalisco;005 Amatitán;Total;Total;14.619;14.237;12.715;1.311;112;99;324;58
14 Jalisco;005 Amatitán;Disponen de excusado;Total;14.284;14.141;12.659;1.281;112;89;113;30
14 Jalisco;005 Amatitán;Disponen de excusado;Tiene descarga directa de agua;9.499;9.493;8.838;513;88;54;0;6
14 Jalisco;005 Amatitán;Disponen de excusado;Le echan agua con cubeta;4.700;4.619;3.801;759;24;35;62;19
14 Jalisco;005 Amatitán;Disponen de excusado;No se le puede echar agua;30;10;1;9;0;0;15;5
14 Jalisco;005 Amatitán;Disponen de excusado;No especificado;55;19;19;0;0;0;36;0
14 Jalisco;005 Amatitán;No disponen de excusado;Total;302;85;49;30;0;6;211;6
14 Jalisco;005 Amatitán;No especificado;Total;33;11;7;0;0;4;0;22
14 Jalisco;006 Ameca;Total;Total;56.880;55.547;50.920;3.628;329;670;1.224;109
14 Jalisco;006 Ameca;Disponen de excusado;Total;55.500;55.151;50.627;3.542;315;667;292;57
14 Jalisco;006 Ameca;Disponen de excusado;Tiene descarga directa de agua;40.842;40.821;38.639;1.597;133;452;0;21
14 Jalisco;006 Ameca;Disponen de excusado;Le echan agua con cubeta;14.338;14.186;11.915;1.875;181;215;130;22
14 Jalisco;006 Ameca;Disponen de excusado;No se le puede echar agua;106;63;14;48;1;0;43;0
14 Jalisco;006 Ameca;Disponen de excusado;No especificado;214;81;59;22;0;0;119;14
14 Jalisco;006 Ameca;No disponen de excusado;Total;1.329;371;277;80;14;0;925;33
14 Jalisco;006 Ameca;No especificado;Total;51;25;16;6;0;3;7;19
14 Jalisco;008 Arandas;Total;Total;72.468;69.875;57.685;11.025;719;446;2.372;221
14 Jalisco;008 Arandas;Disponen de excusado;Total;70.199;69.561;57.607;10.913;620;421;582;56
14 Jalisco;008 Arandas;Disponen de excusado;Tiene descarga directa de agua;57.551;57.516;49.680;7.196;377;263;0;35
14 Jalisco;008 Arandas;Disponen de excusado;Le echan agua con cubeta;11.996;11.670;7.672;3.615;225;158;315;11
14 Jalisco;008 Arandas;Disponen de excusado;No se le puede echar agua;152;126;18;96;12;0;24;2
14 Jalisco;008 Arandas;Disponen de excusado;No especificado;500;249;237;6;6;0;243;8
14 Jalisco;008 Arandas;No disponen de excusado;Total;2.169;284;61;112;86;25;1.786;99
14 Jalisco;008 Arandas;No especificado;Total;100;30;17;0;13;0;4;66
14 Jalisco;010 Atemajac de Brizuela;Total;Total;6.642;6.161;5.622;474;62;3;411;70
14 Jalisco;010 Atemajac de Brizuela;Disponen de excusado;Total;6.197;6.089;5.566;468;52;3;88;20
14 Jalisco;010 Atemajac de Brizuela;Disponen de excusado;Tiene descarga directa de agua;2.889;2.889;2.596;259;31;3;0;0
14 Jalisco;010 Atemajac de Brizuela;Disponen de excusado;Le echan agua con cubeta;3.212;3.184;2.957;206;21;0;21;7
14 Jalisco;010 Atemajac de Brizuela;Disponen de excusado;No se le puede echar agua;77;16;13;3;0;0;61;0
14 Jalisco;010 Atemajac de Brizuela;Disponen de excusado;No especificado;19;0;0;0;0;0;6;13
14 Jalisco;010 Atemajac de Brizuela;No disponen de excusado;Total;413;72;56;6;10;0;319;22
14 Jalisco;010 Atemajac de Brizuela;No especificado;Total;32;0;0;0;0;0;4;28
14 Jalisco;011 Atengo;Total;Total;5.387;4.859;3.702;1.109;40;8;503;25
14 Jalisco;011 Atengo;Disponen de excusado;Total;4.905;4.781;3.645;1.098;30;8;124;0
14 Jalisco;011 Atengo;Disponen de excusado;Tiene descarga directa de agua;2.757;2.757;2.304;415;30;8;0;0
14 Jalisco;011 Atengo;Disponen de excusado;Le echan agua con cubeta;2.071;1.974;1.334;640;0;0;97;0
14 Jalisco;011 Atengo;Disponen de excusado;No se le puede echar agua;47;43;7;36;0;0;4;0
14 Jalisco;011 Atengo;Disponen de excusado;No especificado;30;7;0;7;0;0;23;0
14 Jalisco;011 Atengo;No disponen de excusado;Total;481;78;57;11;10;0;378;25
14 Jalisco;011 Atengo;No especificado;Total;1;0;0;0;0;0;1;0
