INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por tamaño de localidad, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 7
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Tamaño de localidad;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;Total;Total;Total;1.801.306;1.754.481;1.623.961;112.279;10.655;7.586;37.139;9.686
14 Jalisco;Total;Total;Agua entubada dentro de la vivienda;1.629.276;1.613.443;1.542.080;60.070;6.320;4.973;12.634;3.199
14 Jalisco;Total;Total;Agua entubada fuera de la vivienda pero dentro del terreno;68.023;60.072;39.698;17.647;1.647;1.080;7.541;410
14 Jalisco;Total;Total;Agua entubada de la llave pública (o hidrante);21.104;19.942;15.217;4.205;316;204;1.088;74
14 Jalisco;Total;Total;Agua entubada que acarrean de otra vivienda;10.888;7.715;4.398;2.825;330;162;2.987;186
14 Jalisco;Total;Total;Agua de pipa;21.373;18.980;7.743;10.692;352;193;2.285;108
14 Jalisco;Total;Total;Agua de pozo, río, lago, arroyo u otra;42.881;32.014;12.748;16.626;1.681;959;10.394;473
14 Jalisco;Total;Total;No especificado;7.761;2.315;2.077;214;9;15;210;5.236
14 Jalisco;Total;Disponen de energía eléctrica;Total;1.782.473;1.746.722;1.620.482;108.758;10.077;7.405;29.393;6.358
14 Jalisco;Total;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.624.516;1.609.988;1.539.719;59.179;6.172;4.918;11.394;3.134
14 Jalisco;Total;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;65.575;58.882;39.271;17.019;1.538;1.054;6.336;357
14 Jalisco;Total;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);20.767;19.740;15.127;4.102;309;202;963;64
14 Jalisco;Total;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;9.519;7.105;4.123;2.550;279;153;2.257;157
14 Jalisco;Total;Disponen de energía eléctrica;Agua de pipa;20.303;18.314;7.635;10.177;329;173;1.896;93
14 Jalisco;Total;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;37.256;30.471;12.602;15.538;1.441;890;6.418;367
14 Jalisco;Total;Disponen de energía eléctrica;No especificado;4.537;2.222;2.005;193;9;15;129;2.186
14 Jalisco;Total;No disponen de energía eléctrica;Total;14.871;6.951;2.801;3.401;570;179;7.651;269
14 Jalisco;Total;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;4.105;2.835;1.786;851;145;53;1.218;52
14 Jalisco;Total;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;2.363;1.125;386;605;108;26;1.190;48
14 Jalisco;Total;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);313;183;82;92;7;2;121;9
14 Jalisco;Total;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;1.351;599;266;273;51;9;723;29
14 Jalisco;Total;No disponen de energía eléctrica;Agua de pipa;1.040;641;104;495;22;20;384;15
14 Jalisco;Total;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;5.552;1.510;137;1.067;237;69;3.939;103
14 Jalisco;Total;No disponen de energía eléctrica;No especificado;147;58;40;18;0;0;76;13
14 Jalisco;Total;No especificado;Total;3.962;808;678;120;8;2;95;3.059
14 Jalisco;Total;No especificado;Agua entubada dentro de la vivienda;655;620;575;40;3;2;22;13
14 Jalisco;Total;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;85;65;41;23;1;0;15;5
14 Jalisco;Total;No especificado;Agua entubada de la llave pública (o hidrante);24;19;8;11;0;0;4;1
14 Jalisco;Total;No especificado;Agua entubada que acarrean de otra vivienda;18;11;9;2;0;0;7;0
14 Jalisco;Total;No especificado;Agua de pipa;30;25;4;20;1;0;5;0
14 Jalisco;Total;No especificado;Agua de pozo, río, lago, arroyo u otra;73;33;9;21;3;0;37;3
14 Jalisco;Total;No especificado;No especificado;3.077;35;32;3;0;0;5;3.037
14 Jalisco;1-249 habitantes;Total;Total;77.554;58.808;13.091;38.733;4.810;2.174;17.746;1.000
14 Jalisco;1-249 habitantes;Total;Agua entubada dentro de la vivienda;39.033;33.937;9.912;20.459;2.398;1.168;4.820;276
14 Jalisco;1-249 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;11.602;8.231;1.595;5.490;795;351;3.258;113
14 Jalisco;1-249 habitantes;Total;Agua entubada de la llave pública (o hidrante);1.165;889;191;633;46;19;257;19
14 Jalisco;1-249 habitantes;Total;Agua entubada que acarrean de otra vivienda;1.655;846;126;586;108;26;777;32
14 Jalisco;1-249 habitantes;Total;Agua de pipa;3.126;2.283;160;1.954;113;56;805;38
14 Jalisco;1-249 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;20.612;12.524;1.087;9.538;1.350;549;7.746;342
14 Jalisco;1-249 habitantes;Total;No especificado;361;98;20;73;0;5;83;180
14 Jalisco;1-249 habitantes;Disponen de energía eléctrica;Total;69.062;56.185;12.957;36.830;4.335;2.063;12.187;690
14 Jalisco;1-249 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;37.590;33.256;9.847;19.983;2.289;1.137;4.082;252
14 Jalisco;1-249 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;10.371;7.796;1.575;5.180;699;342;2.482;93
14 Jalisco;1-249 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);1.072;852;184;603;46;19;207;13
14 Jalisco;1-249 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;1.313;734;116;516;79;23;555;24
14 Jalisco;1-249 habitantes;Disponen de energía eléctrica;Agua de pipa;2.673;2.070;155;1.773;99;43;570;33
14 Jalisco;1-249 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;15.897;11.391;1.061;8.713;1.123;494;4.247;259
14 Jalisco;1-249 habitantes;Disponen de energía eléctrica;No especificado;146;86;19;62;0;5;44;16
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Total;8.217;2.565;123;1.861;470;111;5.501;151
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.412;662;60;463;108;31;727;23
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;1.215;426;17;305;95;9;769;20
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);87;34;6;28;0;0;47;6
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;340;112;10;70;29;3;220;8
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua de pipa;442;205;5;173;14;13;232;5
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;4.664;1.116;25;812;224;55;3.467;81
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;No especificado;57;10;0;10;0;0;39;8
14 Jalisco;1-249 habitantes;No especificado;Total;275;58;11;42;5;0;58;159
14 Jalisco;1-249 habitantes;No especificado;Agua entubada dentro de la vivienda;31;19;5;13;1;0;11;1
14 Jalisco;1-249 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;16;9;3;5;1;0;7;0
14 Jalisco;1-249 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);6;3;1;2;0;0;3;0
14 Jalisco;1-249 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;2;0;0;0;0;0;2;0
14 Jalisco;1-249 habitantes;No especificado;Agua de pipa;11;8;0;8;0;0;3;0
14 Jalisco;1-249 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;51;17;1;13;3;0;32;2
14 Jalisco;1-249 habitantes;No especificado;No especificado;158;2;1;1;0;0;0;156
14 Jalisco;250-499 habitantes;Total;Total;35.836;31.637;17.102;12.558;1.054;923;3.920;279
14 Jalisco;250-499 habitantes;Total;Agua entubada dentro de la vivienda;23.762;22.285;13.516;7.371;714;684;1.398;79
14 Jalisco;250-499 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;6.756;5.466;2.394;2.726;202;144;1.243;47
14 Jalisco;250-499 habitantes;Total;Agua entubada de la llave pública (o hidrante);913;763;332;413;5;13;133;17
14 Jalisco;250-499 habitantes;Total;Agua entubada que acarrean de otra vivienda;699;393;126;246;13;8;276;30
